Date,Category,sums
2020-05-29,Stay_Home_Order,109
2020-05-29,Status_of_Reopening,0
2020-05-29,NonEss_Business_Closed,70
2020-05-29,Gathering_Limit,174
2020-05-29,Emergency_Declaration,51
2020-05-29,Travel_Quarantine,72
2020-05-29,Mask_Requirement,0
2020-05-29,Restaurants,106
2020-05-29,School_Closed,86
2020-05-30,Stay_Home_Order,109
2020-05-30,Status_of_Reopening,0
2020-05-30,NonEss_Business_Closed,70
2020-05-30,Gathering_Limit,174
2020-05-30,Emergency_Declaration,51
2020-05-30,Travel_Quarantine,72
2020-05-30,Mask_Requirement,0
2020-05-30,Restaurants,106
2020-05-30,School_Closed,86
2020-05-31,Stay_Home_Order,109
2020-05-31,Status_of_Reopening,0
2020-05-31,NonEss_Business_Closed,70
2020-05-31,Gathering_Limit,174
2020-05-31,Emergency_Declaration,51
2020-05-31,Travel_Quarantine,72
2020-05-31,Mask_Requirement,0
2020-05-31,Restaurants,106
2020-05-31,School_Closed,86
2020-06-01,Stay_Home_Order,93
2020-06-01,Status_of_Reopening,0
2020-06-01,NonEss_Business_Closed,70
2020-06-01,Gathering_Limit,166
2020-06-01,Emergency_Declaration,51
2020-06-01,Travel_Quarantine,65
2020-06-01,Mask_Requirement,0
2020-06-01,Restaurants,100
2020-06-01,School_Closed,86
2020-06-02,Stay_Home_Order,93
2020-06-02,Status_of_Reopening,0
2020-06-02,NonEss_Business_Closed,70
2020-06-02,Gathering_Limit,166
2020-06-02,Emergency_Declaration,51
2020-06-02,Travel_Quarantine,65
2020-06-02,Mask_Requirement,0
2020-06-02,Restaurants,100
2020-06-02,School_Closed,86
2020-06-03,Stay_Home_Order,93
2020-06-03,Status_of_Reopening,0
2020-06-03,NonEss_Business_Closed,70
2020-06-03,Gathering_Limit,166
2020-06-03,Emergency_Declaration,51
2020-06-03,Travel_Quarantine,65
2020-06-03,Mask_Requirement,0
2020-06-03,Restaurants,100
2020-06-03,School_Closed,86
2020-06-04,Stay_Home_Order,93
2020-06-04,Status_of_Reopening,0
2020-06-04,NonEss_Business_Closed,70
2020-06-04,Gathering_Limit,162
2020-06-04,Emergency_Declaration,51
2020-06-04,Travel_Quarantine,65
2020-06-04,Mask_Requirement,0
2020-06-04,Restaurants,100
2020-06-04,School_Closed,86
2020-06-05,Stay_Home_Order,93
2020-06-05,Status_of_Reopening,0
2020-06-05,NonEss_Business_Closed,70
2020-06-05,Gathering_Limit,157
2020-06-05,Emergency_Declaration,51
2020-06-05,Travel_Quarantine,65
2020-06-05,Mask_Requirement,0
2020-06-05,Restaurants,100
